tipo,m,b,m_error,b_error,Cov,R2,Chi2,Chi2_reducido,grados_libertad
b libre,0.5547648159235902,0.18950035031753248,0.004507378752279128,0.01959150873374911,-5.473135053122494e-05,0.9978552201621949,31.61635874547138,1.5808179372735691,20
b libre,0.5552656380938069,0.18845299497161316,0.004618152051574247,0.0197040137130884,-5.684534387128664e-05,0.9976219525605109,31.368231951197576,1.6509595763788198,19
b libre,0.5564446409117724,0.18602429031199888,0.004814415528868319,0.01990235986458492,-6.065889123905058e-05,0.9973918477448606,30.61736979192294,1.7009649884401634,18
b fijo,0.5817863748542695,0.0,0.003537247013080396,0.0,0.0,0.9906037082536806,125.1750798419766,5.960718087713171,21
b libre-ef,0.5563754822768395,0.18822586438897793,0.0063674395026603655,0.025798671659094954,-0.00010265854335893359,0.9975421217627807,18.8716028861126,0.9435801443056301,20
b libre-ef,0.5569867647051614,0.18699223540042087,0.006531154842606301,0.025964819131888525,-0.00010692015675148449,0.9972838633781878,18.69465255094427,0.9839290816286458,19
b libre-ef,0.5581980115647253,0.18458877432065504,0.006792737139643039,0.026252986732729033,-0.00011390955449816492,0.9970410765441824,18.217874919938623,1.0121041622188125,18
