frecuencia,m,b,m_error,b_error,Cov,R2,Chi2,Chi2_reducido
10 Hz,2.568807637817783,0.8867878839566339,0.036106877252899496,0.0625011804212678,-0.0015072949746964825,0.9977396028527851,4.7524110359595655,0.5940513794949457
100 Hz,2.7921537714992266,0.26269226065828344,0.03923573132614843,0.0686613910199922,-0.001981565636195572,0.9990108575930157,2.0493906099697554,0.2561738262462194
1 KHz,2.8586509272563125,0.3227857842521182,0.040166081844710357,0.06803898225916788,-0.001994431643693767,0.9994733373476651,1.0217841589776966,0.12772301987221207
10 KHz,1.7323822476517008,1.298871526984226,0.024340539814012567,0.058782048494043046,-0.0008747732749045325,0.9996378207906119,0.7449155413246862,0.09311444266558577
100 KHz,5.0606846233359315,2.060456056314987,0.07577192970088395,0.053731498081439864,-0.002037901905920039,0.6591257195871003,605.611899636312,75.701487454539
1 MHz,-672.0258546552993,8.603981416653593,12.848652176942293,0.10198914509409068,-1.166192262611711,-0.2360796209011904,2330.673328793139,291.33416609914235
